,LATITUDE,LONGITUDE
0,37.751,-97.822
1,37.4043,-122.0748
2,37.751,-97.822
3,37.751,-97.822
4,53.3338,-6.2488
5,37.751,-97.822
6,37.4043,-122.0748
7,55.7123,12.0564
8,37.751,-97.822
9,37.751,-97.822
10,37.4043,-122.0748
11,37.751,-97.822
12,37.751,-97.822
13,37.4043,-122.0748
14,37.751,-97.822
15,37.751,-97.822
16,37.4043,-122.0748
17,37.751,-97.822
18,37.751,-97.822
19,37.751,-97.822
20,37.751,-97.822
21,47.0,8.0
22,37.751,-97.822
23,53.3338,-6.2488
24,37.751,-97.822
25,37.751,-97.822
26,55.7123,12.0564
27,53.3338,-6.2488
28,37.751,-97.822
29,37.4043,-122.0748
30,37.751,-97.822
31,52.3759,4.8975
32,37.751,-97.822
33,55.6686,12.5842
34,37.751,-97.822
35,37.751,-97.822
36,37.751,-97.822
37,37.4043,-122.0748
38,37.751,-97.822
39,47.0,8.0
40,37.4043,-122.0748
41,37.751,-97.822
42,37.751,-97.822
43,53.3338,-6.2488
44,37.751,-97.822
45,53.3338,-6.2488
46,37.751,-97.822
47,37.751,-97.822
48,37.751,-97.822
49,52.3824,4.8995
50,37.751,-97.822
51,37.751,-97.822
52,37.751,-97.822
53,37.751,-97.822
54,37.751,-97.822
55,37.751,-97.822
56,55.3127,10.7896
57,51.2993,9.491
58,37.751,-97.822
59,37.751,-97.822
60,37.751,-97.822
61,37.4043,-122.0748
62,37.4043,-122.0748
63,47.0,8.0
64,37.751,-97.822
65,37.751,-97.822
66,51.5164,-0.093
67,37.751,-97.822
68,37.751,-97.822
69,45.5063,-73.5794
70,37.751,-97.822
71,39.0481,-77.4728
72,37.751,-97.822
73,37.751,-97.822
74,59.3247,18.056
75,37.751,-97.822
76,37.751,-97.822
77,37.4043,-122.0748
78,37.751,-97.822
79,55.6786,12.5589
80,49.7498,6.1661
81,52.3824,4.8995
82,37.751,-97.822
83,37.751,-97.822
84,47.0,8.0
85,37.4043,-122.0748
