LONGITUDE,LATITUDE,IP,ORG,ZDAT
37.751,-97.822,143.204.244.127,AMAZON-02,0
37.4043,-122.0748,216.58.207.234,GOOGLE,1
37.4043,-122.0748,216.58.207.206,GOOGLE,2
37.751,-97.822,23.78.47.84,AKAMAI-AS,3
37.751,-97.822,142.250.74.74,GOOGLE,4
37.751,-97.822,142.250.74.138,GOOGLE,5
51.5164,-0.093,93.184.220.29,EDGECAST,6
37.751,-97.822,173.194.221.188,GOOGLE,8
47,8,95.100.155.83,Akamai International B.V.,9
52.3759,4.8975,20.190.160.131,MICROSOFT-CORP-MSN-AS-BLOCK,10
52.3759,4.8975,52.239.213.4,MICROSOFT-CORP-MSN-AS-BLOCK,11
53.3338,-6.2488,40.126.31.5,MICROSOFT-CORP-MSN-AS-BLOCK,12
37.751,-97.822,142.250.74.14,GOOGLE,13
37.751,-97.822,142.250.74.78,GOOGLE,14
37.751,-97.822,142.250.74.46,GOOGLE,15
55.3127,10.7896,194.192.82.92,Tele Danmark,16
37.751,-97.822,142.250.74.35,GOOGLE,17
37.751,-97.822,142.250.141.188,GOOGLE,18
37.751,-97.822,74.125.131.188,GOOGLE,19
37.4043,-122.0748,216.58.207.202,GOOGLE,20
37.751,-97.822,152.199.19.160,EDGECAST,22
37.751,-97.822,142.250.74.42,GOOGLE,23
