,LONGITUDE,LATITUDE,IP,ORG,ZDAT
0,37.751,-97.822,64.233.165.188,GOOGLE,0
1,37.751,-97.822,23.77.251.2,AKAMAI-AS,1
2,37.4043,-122.0748,216.58.207.234,GOOGLE,2
3,55.7123,12.0564,195.231.237.112,Styrelsen for it og laering,3
4,37.4043,-122.0748,216.58.207.206,GOOGLE,5
5,37.751,-97.822,142.250.74.110,GOOGLE,6
6,56.35,10.05,87.49.230.143,Tele Danmark,7
7,53.3338,-6.2488,54.229.51.23,AMAZON-02,8
8,37.751,-97.822,142.250.74.74,GOOGLE,9
9,37.751,-97.822,142.250.74.36,GOOGLE,10
10,55.7123,12.0564,195.231.240.211,Styrelsen for it og laering,11
11,37.751,-97.822,99.83.219.81,AMAZON-02,12
12,37.751,-97.822,142.250.74.138,GOOGLE,14
13,51.5164,-0.093,93.184.220.29,EDGECAST,15
14,37.751,-97.822,172.217.21.170,GOOGLE,16
15,37.751,-97.822,143.204.238.149,AMAZON-02,17
16,37.4043,-122.0748,216.239.35.4,GOOGLE,18
17,37.4043,-122.0748,216.58.211.4,GOOGLE,19
18,37.751,-97.822,142.250.74.45,GOOGLE,20
19,37.751,-97.822,142.250.74.3,GOOGLE,21
20,37.751,-97.822,142.250.74.33,GOOGLE,22
21,37.4043,-122.0748,216.58.207.214,GOOGLE,23
22,37.751,-97.822,173.194.222.188,GOOGLE,24
23,37.4043,-122.0748,216.58.207.225,GOOGLE,25
24,37.751,-97.822,34.120.195.249,GOOGLE-CLOUD-PLATFORM,26
25,37.751,-97.822,142.250.74.43,GOOGLE,27
26,37.751,-97.822,142.250.74.163,GOOGLE,28
27,37.751,-97.822,142.250.74.131,GOOGLE,29
28,37.751,-97.822,143.204.237.38,AMAZON-02,30
29,37.4043,-122.0748,216.58.211.10,GOOGLE,31
30,37.4043,-122.0748,216.58.211.2,GOOGLE,32
31,37.751,-97.822,64.233.162.188,GOOGLE,33
32,52.3759,4.8975,52.239.213.4,MICROSOFT-CORP-MSN-AS-BLOCK,34
33,39.0481,-77.4728,35.174.127.31,AMAZON-AES,35
34,37.751,-97.822,172.217.21.174,GOOGLE,36
35,37.751,-97.822,142.250.74.14,GOOGLE,37
36,37.751,-97.822,142.250.74.170,GOOGLE,38
37,37.751,-97.822,23.60.21.15,AKAMAI-AS,39
38,37.4043,-122.0748,216.58.207.238,GOOGLE,40
39,59.3247,18.056,92.241.221.136,Cibicom A/S,41
40,55.6686,12.5842,199.232.42.109,FASTLY,42
41,37.751,-97.822,142.250.74.106,GOOGLE,43
42,55.6786,12.5589,77.66.16.93,Sentia Denmark A/S,44
43,55.6786,12.5589,77.66.27.239,Sentia Denmark A/S,45
44,55.7123,12.0564,95.166.96.13,Tele Danmark,46
45,37.751,-97.822,142.250.74.174,GOOGLE,47
46,37.4043,-122.0748,216.58.211.14,GOOGLE,48
47,37.751,-97.822,172.217.21.163,GOOGLE,49
48,37.751,-97.822,142.250.74.10,GOOGLE,50
49,37.751,-97.822,142.250.74.78,GOOGLE,51
50,55.6786,12.5589,77.66.27.235,Sentia Denmark A/S,52
51,52.3759,4.8975,20.190.160.15,MICROSOFT-CORP-MSN-AS-BLOCK,53
52,37.751,-97.822,142.250.74.67,GOOGLE,54
53,37.751,-97.822,142.250.74.100,GOOGLE,55
54,37.751,-97.822,142.250.74.46,GOOGLE,56
55,49.7498,6.1661,80.92.65.188,Datacenter Luxembourg S.A.,57
56,55.3127,10.7896,194.192.82.92,Tele Danmark,58
57,37.751,-97.822,142.250.74.35,GOOGLE,59
58,37.4043,-122.0748,216.239.34.176,GOOGLE,60
59,37.751,-97.822,143.204.237.63,AMAZON-02,61
60,37.751,-97.822,151.101.193.26,FASTLY,62
61,37.751,-97.822,8.8.4.4,GOOGLE,63
62,37.751,-97.822,142.250.74.142,GOOGLE,64
63,37.751,-97.822,142.250.74.176,GOOGLE,66
64,37.4043,-122.0748,216.58.207.202,GOOGLE,68
65,47.0,8.0,2.23.172.203,Akamai International B.V.,69
66,37.751,-97.822,142.250.74.99,GOOGLE,70
67,47.0,8.0,2.23.172.170,Akamai International B.V.,71
68,37.751,-97.822,34.120.202.204,GOOGLE-CLOUD-PLATFORM,72
69,37.4043,-122.0748,216.58.207.205,GOOGLE,73
70,37.751,-97.822,142.250.74.42,GOOGLE,74
71,37.751,-97.822,142.250.74.164,GOOGLE,75
