,LONGITUDE,LATITUDE,IP,ORG,ZDAT
0,37.751,-97.822,142.250.74.110,GOOGLE,0
1,37.4043,-122.0748,216.58.207.195,GOOGLE,1
2,37.751,-97.822,104.21.22.28,CLOUDFLARENET,2
3,37.751,-97.822,104.18.20.226,CLOUDFLARENET,3
4,53.3338,-6.2488,54.229.51.23,AMAZON-02,4
5,37.751,-97.822,142.250.74.36,GOOGLE,5
6,37.4043,-122.0748,216.239.32.21,GOOGLE,6
7,55.7123,12.0564,195.231.240.211,Styrelsen for it og laering,7
8,37.751,-97.822,13.33.141.122,AMAZON-02,8
9,37.751,-97.822,143.204.238.149,AMAZON-02,9
10,37.4043,-122.0748,216.58.211.4,GOOGLE,10
11,37.751,-97.822,142.250.74.3,GOOGLE,11
12,37.751,-97.822,142.250.74.33,GOOGLE,12
13,37.4043,-122.0748,216.58.207.238,GOOGLE,13
14,37.751,-97.822,172.217.21.174,GOOGLE,14
15,37.751,-97.822,13.33.141.96,AMAZON-02,15
16,37.4043,-122.0748,216.58.211.14,GOOGLE,16
17,37.751,-97.822,142.250.74.10,GOOGLE,17
18,37.751,-97.822,142.250.74.46,GOOGLE,18
19,37.751,-97.822,142.250.74.35,GOOGLE,19
20,37.751,-97.822,173.194.220.188,GOOGLE,20
21,47.0,8.0,2.23.172.203,Akamai International B.V.,21
22,37.751,-97.822,142.250.74.99,GOOGLE,22
23,53.3338,-6.2488,40.126.31.68,MICROSOFT-CORP-MSN-AS-BLOCK,23
24,37.751,-97.822,142.250.74.42,GOOGLE,24
25,37.751,-97.822,104.22.51.71,CLOUDFLARENET,25
26,55.7123,12.0564,195.231.237.112,Styrelsen for it og laering,26
27,53.3338,-6.2488,34.253.53.74,AMAZON-02,27
28,37.751,-97.822,209.85.233.188,GOOGLE,28
29,37.4043,-122.0748,216.58.207.225,GOOGLE,29
30,37.751,-97.822,143.204.237.103,AMAZON-02,30
31,52.3759,4.8975,52.239.213.4,MICROSOFT-CORP-MSN-AS-BLOCK,31
32,37.751,-97.822,35.190.80.1,GOOGLE,32
33,55.6686,12.5842,199.232.42.109,FASTLY,33
34,37.751,-97.822,142.250.74.106,GOOGLE,34
35,37.751,-97.822,142.250.74.174,GOOGLE,35
36,37.751,-97.822,23.13.243.245,AKAMAI-AS,36
37,37.4043,-122.0748,216.58.207.202,GOOGLE,38
38,37.751,-97.822,143.204.237.85,AMAZON-02,39
39,47.0,8.0,2.23.172.122,Akamai International B.V.,40
40,37.4043,-122.0748,216.239.38.21,GOOGLE,41
41,37.751,-97.822,142.250.74.74,GOOGLE,42
42,37.751,-97.822,142.250.74.163,GOOGLE,43
43,53.3338,-6.2488,54.76.194.186,AMAZON-02,44
44,37.751,-97.822,172.217.21.170,GOOGLE,45
45,53.3338,-6.2488,52.17.71.202,AMAZON-02,46
46,37.751,-97.822,104.16.122.175,CLOUDFLARENET,47
47,37.751,-97.822,172.64.155.188,CLOUDFLARENET,48
48,37.751,-97.822,143.204.237.23,AMAZON-02,49
49,52.3824,4.8995,91.198.174.208,WIKIMEDIA,50
50,37.751,-97.822,104.22.50.71,CLOUDFLARENET,51
51,37.751,-97.822,143.204.237.96,AMAZON-02,52
52,37.751,-97.822,142.250.74.14,GOOGLE,53
53,37.751,-97.822,142.250.74.78,GOOGLE,54
54,37.751,-97.822,142.250.74.67,GOOGLE,55
55,37.751,-97.822,64.233.161.157,GOOGLE,56
56,55.3127,10.7896,194.192.82.92,Tele Danmark,57
57,51.2993,9.491,185.221.87.248,New Relic International Limited,58
58,37.751,-97.822,142.250.74.142,GOOGLE,59
59,37.751,-97.822,75.2.88.188,AMAZON-02,61
60,37.751,-97.822,142.250.74.164,GOOGLE,62
61,37.4043,-122.0748,216.58.207.234,GOOGLE,63
62,37.4043,-122.0748,216.58.207.206,GOOGLE,64
63,47.0,8.0,2.22.22.90,Akamai International B.V.,65
64,37.751,-97.822,142.250.74.168,GOOGLE,66
65,37.751,-97.822,151.101.2.137,FASTLY,67
66,51.5164,-0.093,93.184.220.29,EDGECAST,69
67,37.751,-97.822,142.250.74.138,GOOGLE,70
68,37.751,-97.822,34.120.195.249,GOOGLE-CLOUD-PLATFORM,71
69,45.5063,-73.5794,167.114.119.127,OVH SAS,72
70,37.751,-97.822,142.250.74.131,GOOGLE,73
71,39.0481,-77.4728,35.174.127.31,AMAZON-AES,74
72,37.751,-97.822,142.250.74.170,GOOGLE,75
73,37.751,-97.822,142.250.74.109,GOOGLE,76
74,59.3247,18.056,92.241.221.136,Cibicom A/S,77
75,37.751,-97.822,104.18.21.226,CLOUDFLARENET,78
76,37.751,-97.822,13.33.141.11,AMAZON-02,79
77,37.4043,-122.0748,216.239.32.36,GOOGLE,80
78,37.751,-97.822,172.217.21.163,GOOGLE,81
79,55.6786,12.5589,86.58.160.106,Sentia Denmark A/S,82
80,49.7498,6.1661,80.92.65.188,Datacenter Luxembourg S.A.,83
81,52.3824,4.8995,91.198.174.192,WIKIMEDIA,84
82,37.751,-97.822,34.120.202.204,GOOGLE-CLOUD-PLATFORM,85
83,37.751,-97.822,152.199.19.160,EDGECAST,86
84,47.0,8.0,2.22.22.74,Akamai International B.V.,87
85,37.4043,-122.0748,216.58.207.205,GOOGLE,88
