,LONGITUDE,LATITUDE,IP,ORG,ZDAT
0,37.751,-97.822,142.250.74.11,GOOGLE,0
1,37.4043,-122.0748,216.58.207.234,GOOGLE,1
2,37.751,-97.822,152.199.23.37,EDGECAST,2
3,53.3338,-6.2488,52.142.124.215,MICROSOFT-CORP-MSN-AS-BLOCK,4
4,37.751,-97.822,23.78.47.84,AKAMAI-AS,5
5,37.751,-97.822,142.250.74.110,GOOGLE,6
6,37.4043,-122.0748,216.58.207.206,GOOGLE,7
7,37.751,-97.822,142.250.74.65,GOOGLE,8
8,53.3338,-6.2488,40.126.31.2,MICROSOFT-CORP-MSN-AS-BLOCK,9
9,37.751,-97.822,142.250.74.36,GOOGLE,10
10,37.751,-97.822,142.250.74.74,GOOGLE,11
11,37.4043,-122.0748,216.239.35.0,GOOGLE,12
12,37.751,-97.822,142.250.74.138,GOOGLE,14
13,51.5164,-0.093,93.184.220.29,EDGECAST,15
14,37.751,-97.822,172.217.21.170,GOOGLE,16
15,37.751,-97.822,209.85.233.188,GOOGLE,17
16,47.0,8.0,95.100.154.122,Akamai International B.V.,18
17,52.3759,4.8975,20.190.160.68,MICROSOFT-CORP-MSN-AS-BLOCK,19
18,52.3759,4.8975,20.190.160.131,MICROSOFT-CORP-MSN-AS-BLOCK,21
19,37.751,-97.822,142.250.74.131,GOOGLE,22
20,37.751,-97.822,34.104.35.123,GOOGLE,23
21,52.3759,4.8975,52.239.213.4,MICROSOFT-CORP-MSN-AS-BLOCK,24
22,37.751,-97.822,172.217.21.174,GOOGLE,25
23,37.751,-97.822,142.250.74.49,GOOGLE,26
24,55.6786,12.5589,77.66.27.239,Sentia Denmark A/S,27
25,37.751,-97.822,142.250.74.106,GOOGLE,28
26,37.4043,-122.0748,216.58.211.14,GOOGLE,29
27,37.751,-97.822,172.217.21.163,GOOGLE,30
28,37.751,-97.822,142.250.74.141,GOOGLE,31
29,37.751,-97.822,142.250.74.10,GOOGLE,32
30,37.751,-97.822,142.250.74.78,GOOGLE,33
31,37.751,-97.822,142.250.74.67,GOOGLE,34
32,52.3759,4.8975,20.190.160.72,MICROSOFT-CORP-MSN-AS-BLOCK,35
33,37.4043,-122.0748,216.58.207.240,GOOGLE,36
34,37.751,-97.822,142.250.74.35,GOOGLE,37
35,52.3759,4.8975,20.50.201.200,MICROSOFT-CORP-MSN-AS-BLOCK,38
36,37.4043,-122.0748,216.58.207.202,GOOGLE,40
37,37.751,-97.822,142.250.74.99,GOOGLE,41
38,37.751,-97.822,152.199.19.160,EDGECAST,42
39,37.751,-97.822,142.250.74.42,GOOGLE,43
40,47.0,8.0,95.100.155.75,Akamai International B.V.,44
