LONGITUDE,LATITUDE,IP,ORG,ZDAT
37.751,-97.822,142.250.74.110,GOOGLE,0
37.751,-97.822,104.16.19.94,CLOUDFLARENET,1
55.7553,12.3233,83.94.121.206,Tele Danmark,2
37.751,-97.822,172.217.21.163,GOOGLE,3
47,8,2.17.2.68,AKAMAI-AS,4
34.0544,-118.244,185.199.110.133,FASTLY,5
55.6786,12.5589,46.30.215.111,One.com A/S,7
37.751,-97.822,142.250.74.72,GOOGLE,8
37.751,-97.822,104.21.192.40,CLOUDFLARENET,9
53.3338,-6.2488,40.126.31.138,MICROSOFT-CORP-MSN-AS-BLOCK,10
53.3338,-6.2488,40.126.31.140,MICROSOFT-CORP-MSN-AS-BLOCK,11
37.751,-97.822,142.250.74.78,GOOGLE,12
37.751,-97.822,104.18.31.182,CLOUDFLARENET,13
47,8,95.100.154.177,Akamai International B.V.,14
37.751,-97.822,74.125.250.129,GOOGLE,15
52.3759,4.8975,52.239.213.4,MICROSOFT-CORP-MSN-AS-BLOCK,16
37.751,-97.822,173.194.221.188,GOOGLE,17
37.4043,-122.0748,216.58.207.225,GOOGLE,18
37.751,-97.822,151.101.194.83,FASTLY,19
37.751,-97.822,104.16.18.94,CLOUDFLARENET,20
53.3338,-6.2488,52.142.124.215,MICROSOFT-CORP-MSN-AS-BLOCK,21
37.751,-97.822,142.250.74.17,GOOGLE,22
37.4043,-122.0748,216.58.211.10,GOOGLE,23
55.4589,12.18,77.66.121.201,Sentia Denmark A/S,24
37.751,-97.822,13.107.213.44,MICROSOFT-CORP-MSN-AS-BLOCK,25
55.7123,12.0564,185.21.40.65,team.blue Denmark A/S,26
53.3338,-6.2488,20.190.159.133,MICROSOFT-CORP-MSN-AS-BLOCK,27
37.751,-97.822,152.199.23.37,EDGECAST,28
37.751,-97.822,172.217.21.182,GOOGLE,29
51.5164,-0.093,93.184.220.29,EDGECAST,30
37.751,-97.822,142.250.74.131,GOOGLE,31
37.751,-97.822,142.250.74.2,GOOGLE,32
55.7123,12.0564,77.111.240.174,One.com A/S,33
55.656,12.4799,195.249.23.145,Tele Danmark,34
53.3338,-6.2488,34.255.202.38,AMAZON-02,35
53.3338,-6.2488,20.190.159.135,MICROSOFT-CORP-MSN-AS-BLOCK,36
37.751,-97.822,104.16.86.20,CLOUDFLARENET,37
37.4043,-122.0748,216.58.207.202,GOOGLE,38
37.751,-97.822,35.190.80.1,GOOGLE,39
55.7123,12.0564,195.231.240.211,Styrelsen for it og laering,40
53.3338,-6.2488,52.214.190.196,AMAZON-02,41
37.751,-97.822,142.250.74.65,GOOGLE,42
37.751,-97.822,104.18.11.207,CLOUDFLARENET,43
53.3338,-6.2488,40.126.31.9,MICROSOFT-CORP-MSN-AS-BLOCK,44
37.751,-97.822,142.250.74.11,GOOGLE,45
33.6647,-117.1743,192.124.249.24,SUCURI-SEC,46
53.3338,-6.2488,63.35.239.179,AMAZON-02,47
37.4043,-122.0748,216.239.35.12,GOOGLE,48
37.4043,-122.0748,216.58.207.206,GOOGLE,49
37.4043,-122.0748,216.58.207.209,GOOGLE,50
37.751,-97.822,172.217.21.174,GOOGLE,51
37.751,-97.822,104.81.36.243,Akamai International B.V.,52
37.751,-97.822,142.250.74.109,GOOGLE,53
37.751,-97.822,172.217.21.170,GOOGLE,54
37.751,-97.822,172.217.21.177,GOOGLE,55
37.751,-97.822,173.194.220.188,GOOGLE,56
55.3127,10.7896,194.192.82.92,Tele Danmark,57
53.3338,-6.2488,52.142.125.222,MICROSOFT-CORP-MSN-AS-BLOCK,58
37.751,-97.822,104.18.20.226,CLOUDFLARENET,59
37.751,-97.822,142.250.74.129,GOOGLE,60
52.3759,4.8975,20.190.160.9,MICROSOFT-CORP-MSN-AS-BLOCK,61
55.7553,12.3233,83.94.121.204,Tele Danmark,62
47,8,95.100.155.83,Akamai International B.V.,63
37.751,-97.822,143.204.238.89,AMAZON-02,64
55.7553,12.3233,83.94.121.210,Tele Danmark,65
37.751,-97.822,18.66.242.173,AMAZON-02,66
55.6786,12.5589,46.30.215.231,One.com A/S,67
37.751,-97.822,13.33.141.60,AMAZON-02,68
37.751,-97.822,152.199.19.160,EDGECAST,69
37.751,-97.822,142.250.74.33,GOOGLE,70
47,8,2.23.172.203,Akamai International B.V.,71
37.751,-97.822,142.250.74.74,GOOGLE,72
37.751,-97.822,173.194.73.188,GOOGLE,73
52.3759,4.8975,20.190.160.133,MICROSOFT-CORP-MSN-AS-BLOCK,74
37.751,-97.822,142.250.74.3,GOOGLE,75
53.3338,-6.2488,20.190.159.131,MICROSOFT-CORP-MSN-AS-BLOCK,76
37.751,-97.822,142.250.74.43,GOOGLE,77
37.751,-97.822,142.250.74.36,GOOGLE,78
37.751,-97.822,142.250.74.75,GOOGLE,79
37.751,-97.822,104.16.87.20,CLOUDFLARENET,80
37.751,-97.822,142.250.74.99,GOOGLE,81
37.751,-97.822,8.8.4.4,GOOGLE,82
37.751,-97.822,142.250.74.42,GOOGLE,83
55.6786,12.5589,77.66.27.239,Sentia Denmark A/S,84
37.751,-97.822,142.250.74.14,GOOGLE,85
55.656,12.4799,195.249.23.206,Tele Danmark,86
37.751,-97.822,142.250.74.46,GOOGLE,87
37.4043,-122.0748,216.58.207.234,GOOGLE,88
47,8,95.100.155.75,Akamai International B.V.,89
37.751,-97.822,74.125.250.69,GOOGLE,90
37.751,-97.822,142.250.74.49,GOOGLE,91
37.751,-97.822,13.33.124.41,AMAZON-02,92
37.751,-97.822,23.78.47.84,AKAMAI-AS,93
37.751,-97.822,142.250.74.118,GOOGLE,94
37.4043,-122.0748,216.58.207.238,GOOGLE,95
37.751,-97.822,142.250.74.141,GOOGLE,98
37.4043,-122.0748,216.58.207.195,GOOGLE,99
37.751,-97.822,34.104.35.123,GOOGLE,100
37.751,-97.822,142.250.74.35,GOOGLE,101
37.751,-97.822,142.250.74.10,GOOGLE,102
37.751,-97.822,142.250.74.67,GOOGLE,103
55.7335,9.1079,194.182.232.79,Tele Danmark,104
37.751,-97.822,13.33.124.10,AMAZON-02,105
37.751,-97.822,104.21.235.37,CLOUDFLARENET,106
37.751,-97.822,151.101.130.83,FASTLY,107
37.751,-97.822,142.250.74.138,GOOGLE,108
37.4043,-122.0748,216.58.211.14,GOOGLE,110
37.751,-97.822,8.8.8.8,GOOGLE,111
37.751,-97.822,108.156.253.126,AMAZON-02,112
37.751,-97.822,142.250.74.100,GOOGLE,113
37.751,-97.822,143.204.238.63,AMAZON-02,114
37.751,-97.822,20.82.223.47,MICROSOFT-CORP-MSN-AS-BLOCK,115
37.751,-97.822,142.250.74.142,GOOGLE,116
37.751,-97.822,74.125.131.188,GOOGLE,117
37.751,-97.822,143.204.238.6,AMAZON-02,118
37.751,-97.822,104.121.237.159,AKAMAI-AS,119
55.7335,9.1079,194.182.232.77,Tele Danmark,120
37.751,-97.822,13.33.124.69,AMAZON-02,121
37.751,-97.822,142.250.74.106,GOOGLE,122
37.751,-97.822,18.66.242.61,AMAZON-02,123
55.656,12.4799,195.249.20.207,Tele Danmark,124
55.7553,12.3233,83.94.121.211,Tele Danmark,125
37.751,-97.822,64.233.165.188,GOOGLE,126
52.3759,4.8975,20.190.160.3,MICROSOFT-CORP-MSN-AS-BLOCK,127
37.751,-97.822,142.250.74.54,GOOGLE,128
